epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.934090939219694,0.6714285714285714,0.4982018800586388,0.8436724565756824,9.890738003669029e-05
0,1.0432639810239306,0.6509316770186335,0.5877155263078567,0.7791563275434243,9.829629131445342e-05
1,0.49666261302758447,0.831055900621118,0.45275073934799387,0.8610421836228288,9.330127018922195e-05
2,0.39112680816317197,0.8577639751552795,0.3508627272670899,0.8858560794044665,8.535533905932738e-05
3,0.33746254755623684,0.8751552795031056,0.2231273773743334,0.9255583126550868,7.500000000000001e-05
4,0.23452435892468654,0.9031055900621118,0.2342500374594671,0.9305210918114144,6.294095225512605e-05
5,0.23217143814733124,0.9173913043478261,0.29467845265580245,0.9057071960297767,5.000000000000001e-05
6,0.17446879537729837,0.931055900621118,0.2239732962002326,0.9354838709677419,3.705904774487398e-05
7,0.1346551650359949,0.9527950310559006,0.19561933300737522,0.9429280397022333,2.5000000000000018e-05
8,0.12040717235205244,0.9583850931677018,0.1973760617924646,0.9255583126550868,1.4644660940672632e-05
9,0.10268920897303715,0.9670807453416149,0.2503474509325017,0.9305210918114144,6.698729810778067e-06
10,0.09371143724590031,0.9683229813664597,0.19984837964167887,0.9429280397022333,1.7037086855465907e-06
11,0.08620707048218905,0.968944099378882,0.216667932741894,0.9404466501240695,0.0
