name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,stations,source
"Kandy, Sri Lanka",2023-08-14,87,69.8,76.3,90.8,69.8,77,67.1,74.6,0.071,100,12.5,rain,65.3,14.1,239.4,20.6,9,2023-08-14T06:01:13,2023-08-14T18:23:14,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-15,87.9,67.4,75.9,92.5,67.4,76.7,66.8,74.9,0,0,0,,54.9,13.2,258.5,22.3,9,2023-08-15T06:01:12,2023-08-15T18:22:53,0.96,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-16,87.7,67,76.2,92.3,67,77.1,67.2,75.4,0.016,100,8.33,rain,60.7,14.1,256.4,22,9,2023-08-16T06:01:10,2023-08-16T18:22:30,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-17,86.5,67.9,76.1,89,67.9,76.7,66.6,74.3,0.004,100,4.17,rain,61.8,13.5,261.6,22.5,9,2023-08-17T06:01:08,2023-08-17T18:22:07,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-18,84.3,70,76.3,89.2,70,77.1,66.9,73.9,0.009,100,8.33,rain,77.1,14.1,271.7,23.5,9,2023-08-18T06:01:06,2023-08-18T18:21:44,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-19,87,70.2,77.1,89,70.2,77.6,65.8,69.6,0,0,0,,56.7,14.1,285.8,24.7,9,2023-08-19T06:01:03,2023-08-19T18:21:19,0.1,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-20,89.1,71,77.9,91.5,71,78.4,66.7,70.4,0,0,0,,46.4,14.1,293.2,25.1,10,2023-08-20T06:01:00,2023-08-20T18:20:54,0.13,Partially cloudy,Partly cloudy throughout the day.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-21,91.4,69.9,79.2,97.8,69.9,80.2,66.9,68.2,0.008,100,8.33,rain,64.3,14,266.1,23,9,2023-08-21T06:00:57,2023-08-21T18:20:29,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-22,91.1,72.9,79.2,96.8,72.9,80.3,69.5,73.8,0.004,100,4.17,rain,79.9,12.3,251.1,21.6,9,2023-08-22T06:00:53,2023-08-22T18:20:03,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
"Kandy, Sri Lanka",2023-08-23,89.4,71.3,78.4,94,71.3,79.4,68.9,74.1,0.01,100,12.5,rain,67.6,13.1,260,22.4,9,2023-08-23T06:00:48,2023-08-23T18:19:37,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"43479099999,43486099999,43476099999,43444099999,43441099999,43473099999,remote",obs
